gvkey,CUSIP,earningsdate,,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq,,,,,,,
010938,91180530,12nov2024,2024,79039,USEG,0.97019011,1.0852778,0.23466465,0.11827836,0.052925792,2024q4,,,,,,,
008947,91192210,28apr2010,2010,65700,USLM,0.98267812,1.0187134,0.005336125,-0.002505477,0.001067348,2010q2,,,,,,,
008947,91192210,27jul2010,2010,65700,USLM,1.0186861,1.0468035,0.10385824,0.063630149,0.066364065,2010q3,,,,,,,
008947,91192210,27oct2010,2010,65700,USLM,0.99106765,0.98893881,-0.017413944,-0.013679918,-0.019894782,2010q4,,,,,,,
008947,91192210,02feb2011,2011,65700,USLM,0.99355322,0.99132437,-0.038843326,-0.017969619,-0.015066499,2011q1,,,,,,,
008947,91192210,27apr2011,2011,65700,USLM,1.0158278,0.99853492,0.016627973,0.012194797,0.0143395,2011q2,,,,,,,
008947,91192210,27jul2011,2011,65700,USLM,0.97742927,1.0227637,0.013286811,0.012947476,-0.000320799,2011q3,,,,,,,
008947,91192210,27oct2011,2011,65700,USLM,1.0642271,1.0026507,0.056596611,0.068821371,0.067048103,2011q4,,,,,,,
008947,91192210,01feb2012,2012,65700,USLM,1.0164077,1.0231669,0.032701693,0.044231877,0.0399547,2012q1,,,,,,,
008947,91192210,25apr2012,2012,65700,USLM,0.98498148,0.99157584,-0.093220614,-0.053139251,-0.023316151,2012q2,,,,,,,
008947,91192210,27jul2012,2012,65700,USLM,0.96421218,0.98196644,-0.12384494,-0.079007663,-0.053175975,2012q3,,,,,,,
008947,91192210,25oct2012,2012,65700,USLM,1.0002322,0.99081814,-0.055919737,-0.009417614,-0.008951729,2012q4,,,,,,,
008947,91192210,30jan2013,2013,65700,USLM,0.99823153,1.0008198,0.019508511,0.006545706,-0.000950141,2013q1,,,,,,,
008947,91192210,24apr2013,2013,65700,USLM,1.013826,0.98434168,-0.034128446,-0.0139784,-0.002048822,2013q2,,,,,,,
008947,91192210,24jul2013,2013,65700,USLM,1.0033765,1.0438155,0.019947613,0.048922222,0.047340006,2013q3,,,,,,,
008947,91192210,30oct2013,2013,65700,USLM,0.99138403,0.99724627,-0.002975112,-0.011531594,-0.01134594,2013q4,,,,,,,
008947,91192210,29jan2014,2014,65700,USLM,0.99246848,1.0044525,-0.009303817,-0.011995696,-0.003112619,2014q1,,,,,,,
008947,91192210,30apr2014,2014,65700,USLM,0.99733508,1.0242001,0.036959179,0.017237356,0.021470668,2014q2,,,,,,,
008947,91192210,23jul2014,2014,65700,USLM,0.99380022,0.9932729,-0.020983061,-0.002227693,-0.012885174,2014q3,,,,,,,
008947,91192210,30oct2014,2014,65700,USLM,1.0224224,0.99406648,-0.010712759,0.02969107,0.016355831,2014q4,,,,,,,
008947,91192210,29jan2015,2015,65700,USLM,0.97478408,0.98472577,-0.004638276,-0.031359471,-0.040104959,2015q1,,,,,,,
008947,91192210,29apr2015,2015,65700,USLM,1.0018528,0.98845387,-0.046659458,-0.000444159,-0.00971474,2015q2,,,,,,,
008947,91192210,29jul2015,2015,65700,USLM,0.99151433,0.99919701,-0.01285589,-0.011614852,-0.009281894,2015q3,,,,,,,
008947,91192210,28oct2015,2015,65700,USLM,1.0046388,1.0254686,0.071932085,0.036188319,0.03022554,2015q4,,,,,,,
008947,91192210,28jan2016,2016,65700,USLM,1.0061308,0.97056538,-0.01997903,-0.015504058,-0.023484219,2016q1,,,,,,,
008947,91192210,27apr2016,2016,65700,USLM,0.98758185,0.98044068,-0.023742914,-0.030409887,-0.031734593,2016q2,,,,,,,
008947,91192210,28jul2016,2016,65700,USLM,1.0002317,0.99546921,0.018410614,0.008286018,-0.004300087,2016q3,,,,,,,
008947,91192210,27oct2016,2016,65700,USLM,1.0033888,1.0118289,0.014289058,0.034548681,0.015257825,2016q4,,,,,,,
008947,91192210,30jan2017,2017,65700,USLM,1.0043887,1.0158833,0.018128855,0.023745734,0.020341743,2017q1,,,,,,,
008947,91192210,25apr2017,2017,65700,USLM,0.98422354,0.99282718,-0.011249411,-0.014028737,-0.02283611,2017q2,,,,,,,
008947,91192210,26jul2017,2017,65700,USLM,0.99996251,0.99731004,-0.003156486,-0.005930067,-0.002727334,2017q3,,,,,,,
008947,91192210,26oct2017,2017,65700,USLM,0.99660498,0.97342348,-0.039191246,-0.017950932,-0.02988133,2017q4,,,,,,,
008947,91192210,30jan2018,2018,65700,USLM,1.0037477,1.016273,0.035723746,0.034026582,0.020081794,2018q1,,,,,,,
008947,91192210,25apr2018,2018,65700,USLM,1.0130385,0.97802895,0.010740721,-0.006725312,-0.009218918,2018q2,,,,,,,
008947,91192210,25jul2018,2018,65700,USLM,0.99511617,0.97972423,-0.050930742,-0.034136403,-0.025060548,2018q3,,,,,,,
008947,91192210,30oct2018,2018,65700,USLM,0.99315041,0.97586942,-0.046978451,-0.028011665,-0.030814875,2018q4,,,,,,,
008947,91192210,31jan2019,2019,65700,USLM,0.97979009,0.99249589,-0.032295715,-0.031534988,-0.027562384,2019q1,,,,,,,
008947,91192210,01may2019,2019,65700,USLM,0.96961343,1.0241491,0.010808918,-0.005852022,-0.006971349,2019q2,,,,,,,
008947,91192210,31jul2019,2019,65700,USLM,0.98986709,1.0355539,0.049115907,0.030486124,0.025060743,2019q3,,,,,,,
008947,91192210,30oct2019,2019,65700,USLM,1.0268959,1.031952,0.083919764,0.047413759,0.059707198,2019q4,,,,,,,
008947,91192210,30jan2020,2020,65700,USLM,0.96492779,0.99858916,-0.052769728,-0.039581619,-0.036433563,2020q1,,,,,,,
008947,91192210,29apr2020,2020,65700,USLM,1.013701,0.96100491,-0.071078494,-0.07966163,-0.025828348,2020q2,,,,,,,
008947,91192210,29jul2020,2020,65700,USLM,1.0089896,1.0147308,-0.018203206,0.034330402,0.023852786,2020q3,,,,,,,
008947,91192210,28oct2020,2020,65700,USLM,1.0206769,1.0217746,0.011137964,0.027365867,0.042901728,2020q4,,,,,,,
008947,91192210,29jan2021,2021,65700,USLM,0.99266356,1.0458066,0.026246939,0.034816179,0.038134139,2021q1,,,,,,,
008947,91192210,28apr2021,2021,65700,USLM,0.97221315,0.97505462,-0.02739469,-0.045234412,-0.052039061,2021q2,,,,,,,
008947,91192210,28jul2021,2021,65700,USLM,1.0077465,0.98986989,0.01534151,0.005389489,-0.002462152,2021q3,,,,,,,
008947,91192210,27oct2021,2021,65700,USLM,1.0118933,1.0104187,0.009132103,0.007986772,0.022435777,2021q4,,,,,,,
