gvkey,CUSIP,ticker,CIK,CoName,cik_source
180363,01625920,ALIM,1267602.0,ALIMERA SCIENCES INC,cusip_link
36463,01626W10,ALIT,1809104.0,Alight Inc / Delaware,cusip_link
163939,02052010,ALJ,1325955.0,Alon USA Energy Inc,cusip_link
62582,00162710,ALJJ,1438731.0,ALJ REGIONAL HOLDINGS INC,cusip_link
1230,01165910,ALK,766421.0,ALASKA AIR GROUP INC,cusip_link
38329,01644J10,ALKT,1529274.0,ALKAMI TECHNOLOGY INC,cusip_link
33721,01671P10,ALLK,1564824.0,Allakos Inc,cusip_link
34161,01977010,ALLO,1737287.0,Allogene Therapeutics Inc,cusip_link
322154,01674450,ALLR,1860657.0,"Allarity Therapeutics, Inc.",ticker_fallback
45447,02230710,ALMS,1847367.0,ALUMIS INC,cusip_link
160196,72703U20,ALN,,,not_found
32529,01811910,ALNA,1624658.0,Allena Pharmaceuticals Inc,cusip_link
264265,02043Q10,ALNY,1178670.0,ALNYLAM PHARMACEUTICALS INC,cusip_link
1633,03265720,ALOG,6284.0,ANALOGIC CORP,cusip_link
1820,04638F10,ALOT,8146.0,ASTRO MED INC /NEW/,cusip_link
120513,01985530,ALOY,1080359.0,ALLOY INC,cusip_link
32245,02083G10,ALPN,1626199.0,ALPINE IMMUNE SCIENCES INC,cusip_link
29531,02083E20,ALPP,,,not_found
24135,01164210,ALRM,1459200.0,Alarmcom Holdings Inc,cusip_link
31656,00887A20,ALRN,1420565.0,AILERON THERAPEUTICS INC,cusip_link
12065,02713510,ALRN,774517.0,AMERICAN LEARNING CORP,cusip_link
126555,01167P10,ALSK,1089510.0,ALASKA COMMUNICATIONS SYSTEMS HOLDINGS INC,cusip_link
177966,01973R10,ALSN,1411207.0,ALLISON TRANSMISSION HOLDINGS INC,cusip_link
31249,02155H20,ALT,1326190.0,Altimmune Inc,cusip_link
36206,02128L10,ALTG,1759824.0,ALTA EQUIPMENT GROUP INC,cusip_link
133424,01977710,ALTH,1097264.0,ALLOS THERAPEUTICS,cusip_link
64550,02137330,ALTI,1838615.0,"AlTi Global, Inc.",ticker_fallback
34414,02215L20,ALTM,1692787.0,Altus Midstream Co,cusip_link
32530,02136910,ALTR,1701732.0,Altair Engineering Inc,cusip_link
14324,02144110,ALTR,768251.0,ALTERA CORP,cusip_link
64690,05280010,ALV,1034670.0,AUTOLIV INC,cusip_link
166414,01538420,ALXA,,,not_found
62263,01535110,ALXN,835887.0,PROGENICS PHARMACEUTICALS INC,cusip_link
36704,00166B10,ALXO,1810182.0,ALX ONCOLOGY HOLDINGS INC,cusip_link
1308,01964550,ALY,3982.0,ALLIS CHALMERS ENERGY INC,cusip_link
1468,02637510,AM,5133.0,AMERICAN GREETINGS CORP,cusip_link
19770,03673L10,AM,1598968.0,Antero Midstream Partners LP,cusip_link
1523,02790410,AMAC,700721.0,AMERICAN MEDICAL ALERT CORP,cusip_link
12250,00163U10,AMAG,792977.0,AMAG PHARMACEUTICALS INC,cusip_link
39018,64187110,AMAM,,,not_found
1704,03822210,AMAT,6951.0,APPLIED MATERIALS INC /DE,cusip_link
185857,02318X10,AMBI,1131543.0,AMBIT BIOSCIENCES CORP,cusip_link
19989,02318Y10,AMBR,1314223.0,AMBER ROAD INC,cusip_link
