gvkey,CUSIP,earningsdate,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq
24616,70450Y10,2016-04-27,15488,PYPL,0.004396099999999903,0.010068200000000083,-0.019810529,0.008810272,0.014508548,2016q2
24616,70450Y10,2016-07-21,15488,PYPL,0.005319999999999991,-0.07203101999999995,-0.047054261,-0.055299658,-0.067094229,2016q3
24616,70450Y10,2016-10-20,15488,PYPL,-0.0020868200000000448,0.10138479999999994,0.085974053,0.10710104,0.099086411,2016q4
24616,70450Y10,2017-01-26,15488,PYPL,-0.0038842599999999727,-0.028039869999999967,-0.051095955,-0.04540522,-0.031815249,2017q1
24616,70450Y10,2017-04-26,15488,PYPL,-0.006604489999999963,0.06173790000000001,0.06828586,0.058922067,0.054725684,2017q2
24616,70450Y10,2017-07-26,15488,PYPL,0.009182299999999977,0.02522610000000003,8.47285e-05,0.025411664,0.034640163,2017q3
24616,70450Y10,2017-10-19,15488,PYPL,-1.7640000000040956e-05,0.05111189999999999,0.050832395,0.059357263,0.051093441,2017q4
24616,70450Y10,2018-01-31,15488,PYPL,0.018232900000000107,-0.08084184000000005,-0.04994984,-0.060424645,-0.064082935,2018q1
24616,70450Y10,2018-04-25,15488,PYPL,-0.017776429999999954,0.018417200000000022,-0.037790086,-0.025783319,0.00031337,2018q2
24616,70450Y10,2018-07-25,15488,PYPL,-0.008701559999999997,-0.02284801000000003,-0.07206025,-0.009711731,-0.031350717,2018q3
24616,70450Y10,2018-10-18,15488,PYPL,-0.01796633000000003,0.09603399999999995,0.1168901,0.070890777,0.076342344,2018q4
24616,70450Y10,2019-01-30,15488,PYPL,-9.029999999998761e-05,-0.04806887999999998,-0.036452364,-0.059450123,-0.048154879,2019q1
24616,70450Y10,2019-04-24,15488,PYPL,0.005060599999999971,0.029444000000000026,0.039873417,0.026297649,0.034653619,2019q2
24616,70450Y10,2019-07-24,15488,PYPL,0.002976099999999926,-0.04456389000000005,-0.07033743,-0.035357259,-0.041720517,2019q3
24616,70450Y10,2019-10-23,15488,PYPL,-0.009772299999999956,0.08322429999999992,0.03997504,0.033018775,0.07263869,2019q4
24616,70450Y10,2020-01-29,15488,PYPL,0.002361700000000022,0.0011630000000000251,0.009384874,0.005025964,0.003527437,2020q1
24616,70450Y10,2020-05-06,15488,PYPL,0.028814399999999907,0.1268072,0.12613346,0.16573904,0.15927558,2020q2
